,S288c_R64-1-1.fasta,saccharomyces_arboricola.fasta,saccharomyces_eubayanus.fasta,saccharomyces_kudriavzevii.fasta,saccharomyces_mikatae.fasta,saccharomyces_paradoxus.fasta,saccharomyces_uvarum.fasta
genemark-NC_026177.1-processed-gene-2.68-mRNA-1_1,0,1,0,0,0,0,0
snap_masked-NC_026177.1-processed-gene-3.101-mRNA-1_1,0,1,0,0,0,0,0
genemark-NC_026177.1-processed-gene-3.27-mRNA-1_1,0,1,0,0,0,0,0
augustus_masked-NC_026177.1-processed-gene-3.73-mRNA-1_1,0,1,0,0,0,0,0
genemark-NC_026177.1-processed-gene-3.31-mRNA-1_1,0,1,0,0,0,0,0
snap_masked-NC_026177.1-processed-gene-3.133-mRNA-1_1,0,1,0,0,0,0,0
genemark-NC_026177.1-processed-gene-3.55-mRNA-1_1,0,1,0,0,0,0,0
snap_masked-NC_026177.1-processed-gene-4.0-mRNA-1_1,0,1,0,1,0,0,0
YAL001C,1,1,1,1,1,1,1
YAL002W,1,1,1,1,1,1,1
YAL003W,1,1,1,1,1,1,1
YAL004W,1,0,0,0,0,0,0
YAL008W,1,0,0,1,1,1,0
YAL009W,1,1,1,1,1,1,1
YAL010C,1,1,1,1,1,1,1
YAL011W,1,1,1,1,1,1,1
YAL012W,1,1,0,1,1,1,0
YAL013W,1,0,0,1,1,1,0
YAL014C,1,0,0,0,0,0,0
YAL015C,1,1,1,1,1,1,1
YAL016C-A,1,0,0,0,0,0,0
YAL016C-B,1,0,0,0,0,0,0
YAL016W,1,1,1,1,1,1,1
YAL017W,1,1,1,1,1,1,1
YAL018C,1,1,1,1,1,1,1
YAL019W,1,1,1,1,1,1,1
YAL019W-A,1,0,0,0,0,0,0
YAL020C,1,0,0,1,0,0,0
YAL021C,1,1,0,1,1,1,0
YAL022C,1,1,0,1,1,0,0
YAL023C,1,0,0,0,1,0,1
YAL024C,1,0,0,1,1,1,1
YAL025C,1,1,1,1,1,1,1
YAL026C,1,1,1,1,1,1,1
YAL026C-A,1,0,0,0,0,0,0
YAL027W,1,0,0,0,0,0,0
YAL028W,1,0,0,0,1,1,0
YAL029C,1,1,1,1,1,1,1
YAL031C,1,1,1,1,1,1,1
YAL031W-A,1,0,0,0,0,0,0
YAL032C,1,0,0,0,1,1,0
YAL033W,1,1,1,1,1,1,1
YAL034C,1,1,1,1,1,1,1
YAL034C-B,1,0,0,0,0,0,0
YAL034W-A,1,1,1,1,1,1,1
YAL035W,1,1,1,1,1,1,1
YAL036C,1,1,1,1,1,1,1
YAL037C-A,1,0,0,0,0,0,0
YAL037C-B,1,0,0,0,0,0,0
YAL037W,1,0,0,0,0,1,0
YAL038W,2,2,2,1,2,2,2
YAL039C,1,1,1,1,1,1,1
YAL040C,1,1,1,1,1,1,1
YAL041W,1,1,1,1,1,1,1
YAL042C-A,1,0,0,0,0,0,0
YAL042W,1,1,0,0,0,0,0
YAL043C,1,1,1,1,1,1,1
YAL044C,1,1,1,1,0,1,0
YAL044W-A,1,1,1,1,1,1,1
YAL045C,1,0,0,0,0,0,0
YAL046C,1,1,0,0,0,1,0
YAL047C,1,0,1,0,0,1,1
YAL047W-A,1,0,0,0,0,0,0
YAL048C,1,0,1,0,0,1,1
YAL049C,1,0,0,0,0,1,0
YAL051W,1,1,1,1,1,1,1
YAL053W,1,1,1,1,1,0,1
YAL054C,1,1,1,1,1,1,1
YAL055W,1,0,0,0,0,0,0
YAL056C-A,1,0,0,0,0,0,0
YAL056W,1,1,1,1,1,1,1
YAL058W,1,0,0,0,0,0,0
YAL059C-A,1,0,0,0,0,0,0
YAL059W,1,0,0,1,1,1,1
YAL060W,1,0,0,0,0,0,0
YAL061W,1,1,0,1,1,1,0
YLR046C,1,0,0,0,0,0,0
YLR047C,1,1,1,1,0,1,1
YLR048W,2,2,2,2,2,2,2
YLR049C,1,1,1,1,1,1,1
YLR050C,1,0,1,1,1,0,1
YLR051C,1,1,1,1,1,1,1
YLR052W,1,1,1,1,1,1,1
YLR053C,1,0,0,0,0,1,0
YLR054C,1,1,1,1,1,1,1
YLR055C,1,0,1,0,0,0,1
YLR056W,1,1,1,1,1,1,1
YLR057W,1,1,1,1,1,1,1
YLR058C,1,1,1,1,1,1,1
YLR059C,1,1,0,0,1,1,0
YLR060W,1,1,1,1,1,1,1
YLR061W,2,1,2,2,2,2,2
YLR062C,1,0,0,0,0,0,0
YLR063W,1,1,1,1,1,1,1
YLR064W,1,1,1,0,0,0,0
YLR065C,1,1,1,1,1,1,1
YLR066W,1,1,1,1,1,1,1
YLR067C,1,1,1,1,1,1,1
YLR068W,1,1,1,1,1,1,1
YLR069C,1,1,1,1,1,1,1
YLR070C,1,0,0,0,0,0,0
YLR071C,1,1,1,1,1,1,1
YLR072W,1,1,1,1,1,1,1
YLR073C,1,1,0,1,1,1,0
YLR074C,1,1,0,1,1,1,0
YLR075W,1,1,1,1,1,1,1
YLR076C,1,0,0,0,0,0,0
YLR077W,1,1,1,1,1,1,1
YLR078C,1,1,1,1,1,1,1
YLR079W,1,1,0,1,0,0,0
YLR080W,1,1,1,1,1,1,1
YLR082C,1,1,1,1,1,1,1
YLR083C,2,2,2,2,2,2,2
YLR084C,1,1,1,1,1,1,1
YLR085C,1,1,1,1,1,1,1
YLR086W,1,1,1,1,1,1,1
YLR087C,1,1,1,1,1,1,1
YLR088W,1,1,1,1,1,1,1
YLR089C,1,1,1,1,1,1,1
YLR090W,1,0,0,1,0,0,0
YLR091W,1,0,0,0,0,0,0
YLR092W,1,1,1,1,1,1,1
YLR093C,1,0,0,0,0,1,1
YLR094C,1,1,1,1,1,1,1
YLR095C,1,1,1,1,1,1,1
YLR096W,1,1,1,1,1,1,1
YLR097C,1,0,0,0,0,1,1
YLR098C,1,1,1,0,0,1,1
YLR099C,1,1,1,0,0,1,0
YLR099W-A,1,0,0,0,0,0,0
YLR100W,1,1,1,1,1,1,1
YLR101C,1,0,0,0,0,0,0
YLR102C,1,0,0,1,1,1,0
YLR103C,1,1,1,1,1,1,1
YLR104W,1,1,1,1,1,1,1
YLR105C,1,1,1,1,1,1,1
YLR106C,1,1,1,1,1,1,1
YLR107W,1,1,1,1,1,1,1
YLR108C,1,0,0,1,1,1,0
YLR109W,1,1,1,1,1,1,1
YMR313C,1,1,1,1,1,1,1
YMR314W,1,0,1,0,1,0,1
YMR315W,1,1,1,1,1,1,1
YMR315W-A,1,0,0,0,0,0,0
YMR316C-A,1,0,0,0,0,0,0
YMR316C-B,1,0,0,0,0,0,0
YMR316W,1,1,0,1,1,1,0
YMR317W,1,0,0,0,0,0,0
YMR318C,1,1,1,1,1,1,1
YMR319C,1,1,1,1,1,1,1
YMR320W,1,0,0,0,0,0,0
YMR321C,1,0,0,0,0,0,0
YMR324C,2,0,0,0,0,0,0
YMR326C,1,0,0,0,0,0,0
YNL001W,1,1,1,1,1,1,1
YNL002C,1,1,1,1,1,1,1
YNL003C,1,0,1,1,0,1,0
YNL004W,1,1,1,1,1,1,1
YNL005C,1,1,1,1,1,1,1
YNL006W,1,1,1,1,1,1,1
YNL007C,1,1,1,0,0,1,0
YNL008C,1,0,0,0,0,1,0
YNL010W,1,1,1,1,1,1,1
YNL011C,1,1,1,1,1,1,1
YNL012W,1,0,0,1,0,0,0
YNL013C,1,0,0,0,0,0,0
YNL014W,2,2,2,2,2,2,2
YNL015W,1,1,1,1,0,0,1
YNL016W,1,1,1,1,1,1,1
YNL017C,1,0,0,0,0,0,0
YNL020C,1,1,0,1,1,1,0
YNL021W,1,1,1,1,1,1,1
YNL022C,1,1,0,0,0,0,0
YNL023C,1,1,0,0,1,0,1
YNL024C,1,1,0,0,1,0,1
YNL024C-A,1,0,0,0,0,0,1
snap_masked-Smik_5-processed-gene-3.8-mRNA-1_1,0,0,0,0,1,0,0
maker-Smik_5-snap-gene-3.91-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_5-processed-gene-3.36-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_5-processed-gene-3.21-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_5-processed-gene-3.29-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_5-processed-gene-4.15-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_5-processed-gene-4.35-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_5-processed-gene-4.70-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_5-processed-gene-4.71-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_5-processed-gene-4.72-mRNA-1_1,0,0,0,0,1,0,0
maker-Smik_5-snap-gene-4.152-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_6-processed-gene-0.46-mRNA-1_1,0,0,0,0,2,0,0
YBR049C,1,1,1,1,1,1,1
YBR050C,1,0,0,0,0,0,0
YBR051W,1,0,0,0,0,0,0
YBR052C,1,1,1,1,1,1,0
YBR053C,1,1,1,1,1,1,0
YBR054W,1,1,1,1,1,1,1
YBR055C,1,1,1,1,1,1,1
YBR056C-B,1,0,0,0,0,0,0
YBR056W,1,1,1,1,1,1,1
YBR056W-A,1,0,0,0,0,0,0
YBR057C,1,0,1,0,1,1,1
YBR058C,1,0,1,1,1,0,0
YBR058C-A,1,0,0,0,0,0,0
YBR059C,1,0,1,1,1,1,1
YBR060C,1,1,1,1,1,1,1
YBR061C,1,1,1,1,1,1,1
YBR062C,1,1,1,0,0,1,1
YBR063C,1,0,0,0,0,0,0
YBR064W,1,0,0,0,0,0,0
YBR065C,1,1,1,1,1,1,1
YBR066C,1,0,0,1,1,1,0
YBR067C,1,0,1,1,0,1,1
YBR069C,1,0,1,1,1,0,1
YBR070C,1,1,1,1,1,1,1
YBR071W,1,1,1,1,1,1,1
YBR072C-A,1,0,0,0,0,0,0
YBR072W,1,1,1,1,1,1,1
YBR073W,1,0,1,1,0,0,0
YBR074W,1,1,1,1,1,1,1
YBR076C-A,1,0,0,0,0,0,0
YBR076W,1,1,1,1,1,1,1
YBR077C,1,1,1,1,1,1,1
YBR078W,1,1,1,1,1,1,1
YBR079C,1,1,1,1,1,1,0
YBR080C,1,0,0,0,0,0,0
YBR081C,1,0,0,0,0,1,0
YBR083W,1,1,1,1,1,1,1
YBR084C-A,2,2,2,2,2,2,2
YBR085C-A,1,1,1,1,1,1,1
YBR085W,3,2,2,2,2,2,3
YBR086C,1,1,1,1,1,1,1
YBR087W,1,1,1,1,1,1,1
YBR088C,1,1,1,1,1,1,1
YBR089W,1,0,0,0,0,0,0
YBR090C,1,0,0,0,0,0,0
YBR091C,1,0,1,0,0,1,1
YBR094W,1,1,1,1,1,1,1
YBR095C,1,1,1,1,1,1,1
YBR096W,1,0,1,1,1,1,1
YBR097W,1,1,1,1,1,1,1
YBR098W,1,0,0,0,0,1,0
YBR099C,1,0,0,0,0,0,0
YBR101C,1,1,0,1,1,1,1
YBR102C,1,1,1,1,1,1,1
YBR103C-A,1,0,0,0,0,0,0
YBR103W,1,1,1,1,1,1,1
YBR104W,1,0,0,0,0,0,0
YBR105C,1,1,1,1,1,1,1
YBR106W,1,1,1,1,1,1,1
YBR107C,1,1,1,1,1,1,1
YBR108W,1,0,0,0,0,1,0
YBR109C,1,1,1,1,1,1,1
YBR109W-A,1,0,0,0,0,0,0
YBR110W,1,1,1,1,1,1,1
YBR111C,1,1,1,1,0,1,0
YBR111W-A,1,0,0,0,0,0,0
YBR112C,1,1,1,1,1,1,1
YBR113W,1,0,0,0,0,0,0
YBR114W,1,1,1,1,1,1,1
YBR115C,1,1,1,1,1,1,1
YBR116C,1,0,0,0,0,0,0
YBR119W,1,1,0,1,1,1,0
YBR120C,1,1,1,1,1,1,1
YBR121C,1,1,1,1,1,1,1
YBR121C-A,1,0,0,0,0,0,0
YBR122C,1,0,0,0,0,0,1
YBR123C,1,1,1,1,1,1,1
YBR124W,1,0,0,0,0,0,0
YBR125C,1,1,1,1,1,1,1
YBR126C,1,1,1,1,1,1,1
YBR126W-A,1,0,0,0,0,1,0
YBR126W-B,1,0,0,0,0,0,0
YBR127C,1,0,1,0,0,0,0
YBR128C,1,0,0,0,0,0,0
YBR129C,1,0,1,0,0,0,0
YBR130C,1,1,1,0,1,0,0
YBR131C-A,1,0,0,0,0,0,0
YBR131W,1,1,1,1,1,1,1
augustus_masked-Smik_14-processed-gene-6.23-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_14-processed-gene-6.187-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_14-processed-gene-6.188-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_14-processed-gene-6.189-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_14-processed-gene-6.199-mRNA-1_1,0,0,0,0,1,0,0
augustus_masked-Smik_14-processed-gene-6.52-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_14-processed-gene-6.202-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_14-processed-gene-6.171-mRNA-1_1,0,0,0,0,1,0,0
YDR429C,1,0,1,0,0,0,0
YDR430C,1,1,1,1,1,1,1
YDR431W,1,0,0,0,0,0,0
YDR432W,1,1,1,1,1,1,1
YDR433W,1,0,0,0,0,0,0
YDR434W,1,1,1,1,1,1,1
YDR435C,1,1,1,1,1,1,1
YDR436W,1,1,1,1,1,1,1
YDR437W,1,1,1,0,0,0,1
YDR438W,1,1,1,0,0,0,1
YDR439W,1,1,1,1,1,1,1
YDR440W,1,1,1,1,1,1,1
YDR441C,1,1,1,1,1,1,1
YDR442W,1,0,0,0,0,0,0
YDR443C,1,1,1,1,1,1,1
YDR444W,1,1,1,1,1,1,1
YDR445C,1,0,0,0,0,0,0
YDR446W,1,0,1,1,1,1,1
YDR448W,1,1,1,1,1,1,1
YDR449C,1,1,1,1,1,1,1
YDR451C,1,1,1,1,1,1,1
YDR452W,1,1,1,1,1,1,1
YDR454C,1,1,1,1,1,1,1
YDR455C,1,0,0,0,0,0,0
YDR456W,1,1,1,1,1,1,1
YDR457W,1,1,1,1,1,1,1
YDR458C,1,0,0,0,1,1,0
YDR459C,1,0,1,0,1,1,1
YDR460W,1,1,1,1,1,1,1
YDR461C-A,1,0,0,1,1,1,0
YDR461W,2,0,0,0,0,1,1
YDR462W,1,1,0,0,1,0,0
YDR463W,1,1,1,1,1,1,1
YDR464C-A,1,0,0,0,0,0,0
YDR464W,1,0,0,1,1,1,0
YDR465C,1,1,1,1,1,1,1
YDR466W,1,1,0,1,1,1,0
YDR467C,1,0,0,0,0,0,0
YDR468C,1,1,1,1,1,1,1
YDR469W,1,0,0,0,0,1,0
YDR470C,1,1,1,1,1,1,1
YDR472W,1,1,1,1,1,1,1
YDR473C,1,1,1,1,1,1,0
YDR475C,1,1,1,1,1,1,1
YDR476C,1,1,0,1,0,1,1
YDR477W,1,1,1,1,1,1,1
YDR478W,1,0,0,0,0,0,0
YDR479C,1,1,1,1,1,1,1
YDR480W,1,0,0,0,1,1,0
YDR481C,1,1,1,1,1,1,1
YDR482C,1,1,1,1,1,0,1
YDR483W,1,1,1,1,1,0,1
YDR484W,1,1,1,1,1,1,1
YDR485C,1,0,0,0,0,1,0
YDR486C,1,0,0,0,0,1,0
YDR487C,1,0,0,0,0,0,0
YDR488C,1,0,0,0,0,1,0
YDR489W,1,1,1,1,1,1,1
YDR490C,1,1,1,1,1,1,1
YDR491C,1,0,0,0,0,0,0
YDR492W,1,0,0,0,1,0,0
YDR493W,1,0,0,0,0,0,0
YDR494W,1,0,0,0,0,0,0
YDR495C,1,1,0,1,1,0,0
YDR496C,1,0,1,0,0,1,1
YDR497C,2,2,2,2,2,2,2
YDR498C,1,1,1,1,0,1,1
YDR499W,1,1,1,1,1,1,1
YDR501W,1,0,0,1,1,1,0
YDR503C,1,1,1,1,1,1,1
YDR504C,1,0,0,0,0,0,0
YDR505C,1,1,1,1,1,1,1
YDR506C,1,0,0,0,1,1,0
YDR507C,1,1,1,1,1,1,1
YDR508C,1,1,1,1,1,1,1
YDR509W,1,0,0,0,0,0,0
YDR510C-A,1,0,0,0,0,0,0
YDR510W,1,1,0,1,1,0,1
YDR511W,1,1,1,1,1,1,1
YDR513W,1,1,1,1,1,1,1
YDR514C,1,1,1,1,1,1,1
YDR515W,1,0,0,0,0,1,0
YDR516C,2,1,1,1,1,1,1
YDR517W,1,1,1,0,1,1,1
YDR518W,1,1,1,1,1,1,1
YDR519W,1,1,1,1,0,1,0
YDR520C,1,0,1,0,0,1,0
YDR521W,1,0,0,0,0,0,0
YDR522C,1,0,0,0,0,1,0
YDR523C,1,0,1,0,0,0,0
YDR524C,1,0,1,1,1,1,1
YDR524C-A,1,0,0,0,0,0,0
YPR052C,2,2,2,1,1,2,2
YPR053C,1,0,0,0,0,0,0
YPR054W,1,0,1,1,1,0,1
YPR055W,1,1,1,1,1,1,1
YPR056W,1,1,0,0,0,1,0
YPR057W,1,1,0,0,1,1,0
YPR058W,1,1,0,0,1,1,0
YPR059C,1,0,0,0,0,0,0
YPR060C,1,1,1,1,1,1,1
YPR061C,1,1,1,1,1,1,1
YPR062W,1,1,1,1,1,1,1
YPR063C,1,0,1,1,1,1,1
YPR064W,1,0,0,0,0,0,0
YPR065W,1,1,1,1,1,1,1
YPR066W,1,1,1,1,1,1,1
YPR067W,1,0,0,0,0,0,0
YPR068C,1,1,1,1,1,1,1
YPR069C,1,1,1,1,1,1,1
YPR070W,1,1,1,1,1,1,1
YPR071W,1,0,0,0,0,0,0
YPR072W,1,1,1,1,1,1,1
YPR073C,1,1,1,1,1,0,0
YPR074C,2,1,1,2,2,0,2
YPR074W-A,1,0,0,0,0,0,0
YPR075C,1,0,0,1,1,0,0
YPR076W,1,0,0,0,0,0,0
YPR077C,1,0,0,0,0,0,0
YPR078C,1,0,0,0,0,0,0
YPR079W,1,1,1,1,1,1,1
YPR080W,2,0,2,0,2,2,2
YPR081C,1,1,1,1,1,1,0
YPR082C,1,0,0,1,0,0,0
YPR083W,1,1,1,1,1,1,1
YPR084W,1,1,1,1,1,1,1
YPR085C,1,0,0,0,0,1,0
YPR086W,1,1,1,1,1,1,1
YPR087W,1,0,0,0,0,0,0
YPR088C,1,1,1,1,1,1,1
YPR089W,1,1,1,1,1,1,1
YPR091C,1,1,1,1,1,1,1
YPR092W,1,0,0,0,0,0,0
YPR093C,1,0,0,1,1,1,0
YPR094W,1,1,1,1,1,1,1
YPR095C,1,1,1,1,1,1,1
YPR096C,1,0,0,0,0,0,0
YPR097W,1,1,1,1,1,1,1
YPR098C,1,1,1,1,1,1,1
YPR099C,1,0,0,0,0,0,0
YPR100W,1,0,0,0,0,0,0
YPR101W,1,0,0,0,0,1,0
YPR102C,2,2,1,2,1,2,1
YPR103W,1,1,1,1,1,1,1
YPR104C,1,1,1,1,1,1,1
YPR105C,1,1,1,1,1,1,1
YPR106W,1,1,1,1,1,1,1
YPR107C,1,1,1,1,1,1,1
YPR108W,1,1,1,1,1,1,1
YPR108W-A,1,0,0,0,0,0,0
YPR109W,1,1,1,1,1,1,1
YPR110C,1,1,1,1,1,1,1
YPR111W,2,2,2,2,2,2,2
YPR112C,1,1,1,1,1,1,1
YPR113W,1,1,1,1,1,1,1
YPR114W,1,1,1,1,1,1,1
YPR115W,1,0,1,0,0,1,0
YPR116W,1,0,0,0,0,1,0
YPR117W,1,1,1,1,1,1,1
YPR118W,1,1,0,0,1,1,1
YPR120C,1,1,1,1,1,1,1
YPR122W,1,1,1,1,1,1,1
YPR123C,1,0,0,0,0,1,0
YPR124W,1,1,1,1,1,1,1
YPR125W,1,1,1,1,1,1,1
YPR126C,1,0,0,0,0,0,0
YPR127W,1,1,1,1,1,1,1
YPR128C,1,1,1,1,1,1,1
YPR129W,1,1,1,1,1,1,1
YPR130C,1,0,0,0,0,0,0
YPR131C,1,1,1,1,1,1,1
YPR132W,2,2,2,1,2,2,2
YPR133C,1,1,1,1,1,1,1
YPR133W-A,1,0,0,0,0,0,0
augustus_masked-chrXII-processed-gene-6.15-mRNA-1_1,0,1,1,0,1,0,0
augustus_masked-chrXII-processed-gene-6.28-mRNA-1_1,0,0,1,0,0,0,1
snap_masked-chrXII-processed-gene-7.29-mRNA-1_1,0,0,1,0,0,0,1
augustus_masked-chrXII-processed-gene-7.122-mRNA-1_1,0,0,1,0,0,0,1
augustus_masked-chrXII-processed-gene-7.109-mRNA-1_1,0,1,1,1,0,0,1
augustus_masked-chrXII-processed-gene-9.26-mRNA-1_1,0,0,1,0,0,0,0
augustus_masked-chrXII-processed-gene-9.46-mRNA-1_1,0,0,1,0,0,0,1
snap_masked-chrXIII-processed-gene-0.82-mRNA-1_1,0,0,1,0,0,0,1
augustus_masked-chrXIII-processed-gene-0.33-mRNA-1_1,0,1,1,0,0,0,1
maker-chrXIII-snap-gene-1.57-mRNA-1_1,0,0,1,0,0,0,0
augustus_masked-chrXIII-processed-gene-1.119-mRNA-1_1,0,1,1,0,1,0,1
augustus_masked-chrXIII-processed-gene-1.127-mRNA-1_1,0,0,1,0,1,1,1
snap_masked-chrXIII-processed-gene-2.145-mRNA-1_1,0,0,1,1,0,0,0
augustus_masked-chrXIII-processed-gene-4.0-mRNA-1_1,0,1,1,1,0,0,1
augustus_masked-chrXIII-processed-gene-4.2-mRNA-1_1,0,0,1,0,0,0,1
