genome_id,strain,source,original_ecological_description,geographic_origin,Ploidy,type,sub_type,lg_classify,assemble_level,genomeSize,contigNums,N50,gene_numb,remove,nature_clade,growth_type
BQT_4.re,DBVPG4460,1011_nature,Wine,"Jesi, Italy ",2,Wine,Wine,Wine,contig,11818025.0,2171.0,232465.0,6320.0,False,1. Wine/European ,fast
APT_7.re,CBS459,1011_nature,Wine,Italy,2,Wine,Wine,Wine,contig,11733192.0,1442.0,118911.0,6356.0,False,1. Wine/European ,medium
BID_1.re,DBVPG1058,1011_nature,Bakery,"Pazzaglia, Italy",2,Fermentation,Bakery,Bakery,contig,11921514.0,2924.0,157102.0,6356.0,False,1. Wine/European ,medium
AGI_1.re,CBS1590,1011_nature,Wine,Italy,2,Wine,Wine,Wine,contig,11978972.0,2613.0,175971.0,6389.0,False,1. Wine/European ,slow
BHV_1.re,DBVPG1014,1011_nature,Wine,"Umbria, Italy",2,Wine,Wine,Wine,contig,11981430.0,2728.0,155822.0,6367.0,False,1. Wine/European ,medium
BNE_2.re,DBVPG1057,1011_nature,Wine,"Colli Romani, Lazio, Italy",2,Wine,Wine,Wine,contig,11832849.0,2106.0,181169.0,6333.0,False,1. Wine/European ,
BLA_4.re,DBVPG1599,1011_nature,Wine,"Cerro del Moro, La Mancha, Spain",2,Wine,Wine,Wine,contig,11806248.0,1698.0,180616.0,6350.0,False,1. Wine/European ,medium
BKT_2.re,DBVPG1596,1011_nature,Wine,"Santa Cruz de los Canamos, La Mancha, Spain",2,Wine,Wine,Wine,contig,11844831.0,2291.0,180739.0,6316.0,False,1. Wine/European ,medium
BIA_1.re,DBVPG1029,1011_nature,Wine,"Colli di Roma, Lazio, Italy",2,Wine,Wine,Wine,contig,12012580.0,3657.0,172220.0,6375.0,False,1. Wine/European ,medium
BKL_1.re,DBVPG1564,1011_nature,Wine,"Dolianova, Sardinia, Italy",2,Wine,Wine,Wine,contig,11957674.0,2799.0,185304.0,6356.0,False,1. Wine/European ,slow
BIB_1.re,DBVPG1041,1011_nature,Wine,"Tuscany, Italy",2,Wine,Wine,Wine,contig,11973013.0,3330.0,175885.0,6343.0,False,1. Wine/European ,slow
BKK_2.re,DBVPG1555,1011_nature,Unknown,"Radgona, Slovenia",2,Fermentation,Bakery,Unknown,contig,11941529.0,1761.0,186181.0,6421.0,False,1. Wine/European ,medium
BLQ_1.re,DBVPG1669,1011_nature,Wine,"Cenicero, Rioja, Spain",2,Wine,Wine,Wine,contig,12072624.0,3039.0,176745.0,6387.0,False,1. Wine/European ,slow
YBY.re,YJM1336,1011_nature,Wine,Italy,2,Fermentation,Bakery,,contig,12149741.0,4934.0,172078.0,6401.0,False,1. Wine/European ,fast
YDF.re,YJM1526,1011_nature,"Human, clinical",0,2,Fermentation,Bakery,,contig,12030122.0,2797.0,133333.0,6412.0,False,1. Wine/European ,fast
YDO.re,YJM1129,1011_nature,Distillery,"Ohio, USA",2,Fermentation,Bakery,,contig,12006911.0,2843.0,141711.0,,True,1. Wine/European ,fast
AHG_3.re,CBS1586,1011_nature,Fruit,0,1,Wild,Wild,Wild,contig,11845470.0,1487.0,190858.0,6356.0,False,1. Wine/European ,medium
AII_1.re,C6.1,1011_nature,Palm wine,Cameroon,2,Fermentation,Bakery,Palm wine,contig,11920724.0,1787.0,141025.0,6385.0,False,1. Wine/European ,medium
AHD_1.re,CBS1192,1011_nature,Wine,0,1,Wine,Wine,Wine,contig,11983586.0,2393.0,156437.0,6352.0,False,1. Wine/European ,medium
AGF_1.re,CBS1479,1011_nature,Wine,0,1,Wine,Wine,Wine,contig,12932748.0,14304.0,160210.0,6333.0,False,1. Wine/European ,medium
AHE_3.re,CBS1194,1011_nature,Wine,0,1,Wine,Wine,Wine,contig,11718446.0,1226.0,172083.0,6348.0,False,1. Wine/European ,slow
AQQ_4.re,CBS1175,1011_nature,Wine,Switzerland,2,Wine,Wine,Wine,contig,11943498.0,2111.0,151039.0,6404.0,False,1. Wine/European ,medium
ASG_3.re,CBS1489,1011_nature,"Human, clinical",Italy,2,Human,Human,"Human, clinical",contig,11745681.0,1356.0,175886.0,6329.0,False,1. Wine/European ,medium
ASD_2.re,CBS4507,1011_nature,Beer,0,2,Fermentation,Bakery,Beer,contig,11929803.0,2691.0,171879.0,6354.0,False,1. Wine/European ,slow
ASE_2.re,CBS4667,1011_nature,Wine,Former Czechoslovakia,2,Wine,Wine,Wine,contig,11963685.0,3261.0,179002.0,6354.0,False,1. Wine/European ,medium
AIQ_1.re,MC7,1011_nature,Fermentation,"Umbria, Italy",2,Fermentation,Fermentation,Fermentation,contig,12209230.0,2801.0,141074.0,6443.0,False,1. Wine/European ,medium
BLG_1.re,DBVPG1625,1011_nature,Wine,"La Enconienda, La Mancha, Spain ",2,Wine,Wine,Wine,contig,12595789.0,3964.0,193703.0,6606.0,False,1. Wine/European ,medium
BLI_3.re,DBVPG1629,1011_nature,Wine,"La Mancha, Spain",2,Wine,Wine,Wine,contig,12540009.0,4259.0,213166.0,6533.0,False,1. Wine/European ,medium
ACP_8.re,CLIB154_1b,1011_nature,Wine,Russia,1,Wine,Wine,Wine,contig,11864651.0,2135.0,216452.0,6365.0,False,1. Wine/European (subclade 1),medium
BQA_4.re,DBVPG1994,1011_nature,Wine,Greece,2,Wine,Wine,Wine,contig,11853153.0,1933.0,175245.0,6331.0,False,1. Wine/European (subclade 1),medium
AMA_5.re,21-4-125,1011_nature,Fruit,"Male Zaluzie, Slovakia",3,Wild,Wild,Wild,contig,12255928.0,3253.0,141044.0,6454.0,False,1. Wine/European (subclade 1),medium
ALQ_4.re,21-4-111,1011_nature,Tree,"Male Zaluzie, Slovakia",2,Wild,Wild,Wild,contig,11959996.0,2834.0,178978.0,6359.0,False,1. Wine/European (subclade 1),medium
BBI_6.re,CCY_21-4-120,1011_nature,Flower,"Male Levare, Slovakia",2,Wild,Wild,Wild,contig,12008934.0,3629.0,185163.0,6356.0,False,1. Wine/European (subclade 1),fast
ALT_5.re,21-4-122,1011_nature,Flower,"Male Zaluzie, Slovakia",2,Wild,Wild,Wild,contig,12024965.0,3163.0,136040.0,6376.0,False,1. Wine/European (subclade 1),fast
BBK_6.re,CCY_21-4-121,1011_nature,Flower,"Male Zaluzie, Slovakia",2,Wild,Wild,Wild,contig,12002468.0,3095.0,151289.0,6366.0,False,1. Wine/European (subclade 1),fast
BFB_4.re,EXF-5287,1011_nature,Nature,Slovenia,2,Wild,Wild,Wild,contig,12384396.0,3727.0,144398.0,6489.0,False,1. Wine/European (subclade 1),medium
BFD_1.re,EXF-5297,1011_nature,Fruit,Slovenia,2,Wild,Wild,Wild,contig,11922194.0,1953.0,226022.0,6340.0,False,1. Wine/European (subclade 1),fast
ALS_5.re,21-4-116,1011_nature,Flower,"Male levare, Slovakia",2,Wild,Wild,Wild,contig,11928398.0,2264.0,226343.0,6368.0,False,1. Wine/European (subclade 1),fast
BBH_6.re,CCY_21-4-119,1011_nature,Flower,"Male Levare, Slovakia",2,Wild,Wild,Wild,contig,11922033.0,2636.0,142934.0,6329.0,False,1. Wine/European (subclade 1),fast
BPQ_4.re,DBVPG1918,1011_nature,Wine,Malta,2,Wine,Wine,Wine,contig,11919585.0,2410.0,153188.0,6353.0,False,1. Wine/European (subclade 1),medium
BQN_4.re,DBVPG4186,1011_nature,Wine,Slovenia,2,Wine,Wine,Wine,contig,11889490.0,2235.0,231438.0,6346.0,False,1. Wine/European (subclade 1),medium
CBI_2.re,DBVPG4036,1011_nature,Wine,ex Yugoslavia,2,Wine,Wine,Wine,contig,11929999.0,2604.0,197767.0,6364.0,False,1. Wine/European (subclade 1),slow
CCM_1.re,N493-2C,1011_nature,Tree,"Kiev district, Ukraine",2,Wild,Wild,Wild,contig,11951434.0,2215.0,216082.0,6349.0,False,1. Wine/European (subclade 1),medium
BEP_4.re,EXF-3387,1011_nature,Unknown,"Ljubljana, Slovenia",2,Fermentation,Bakery,Unknown,contig,12119130.0,2636.0,155375.0,6393.0,False,1. Wine/European (subclade 1),medium
BRC_4.re,DBVPG4695,1011_nature,Wine,"Torgiano, Perugia, Italy",2,Wine,Wine,Wine,contig,11882711.0,2561.0,156994.0,6312.0,False,1. Wine/European (subclade 1),medium
CGT_5.re,Lib39,1011_nature,Wine,Lebanon,2,Wine,Wine,Wine,contig,11982097.0,3094.0,205030.0,6309.0,False,1. Wine/European (subclade 1),slow
ALL_4.re,21-4-99,1011_nature,Water,"Bratislava, Slovakia",2,Wild,Wild,Water,contig,12257212.0,3015.0,128864.0,6440.0,False,1. Wine/European ,medium
ALM_4.re,21-4-101,1011_nature,Water,"Bratislava, Slovakia",2,Wild,Wild,Water,contig,12252663.0,2388.0,157304.0,6498.0,False,1. Wine/European ,medium
AVH_5.re,CECT1478,1011_nature,Wine,Hungary,2,Wine,Wine,Wine,contig,11898817.0,2272.0,141287.0,6347.0,False,1. Wine/European ,slow
AHR_1.re,CBS1227,1011_nature,"Human, clinical",Romania,1,Human,Human,"Human, clinical",contig,11839544.0,1253.0,178956.0,6370.0,False,1. Wine/European ,medium
YAD.re,YJM244,1011_nature,"Human, clinical",Romania,2,Wine,Beer,,contig,11980113.0,1940.0,135677.0,6418.0,False,1. Wine/European ,medium
AGH_1.re,CBS1582,1011_nature,Wine,Portugal,1,Wine,Wine,Wine,contig,12092775.0,4547.0,176505.0,6376.0,False,1. Wine/European ,medium
BTH_3.re,ZP_577,1011_nature,Tree,"Portugal, Aldeia das Dez, S. Estrela,",2,Wild,Wild,Wild,contig,12062447.0,3210.0,195266.0,6337.0,False,1. Wine/European ,medium
ATH_3.re,UC4,1011_nature,Wine,Germany,2,Wine,Wine,Wine,contig,12047085.0,3839.0,179422.0,6340.0,False,1. Wine/European ,medium
BFQ_8.re,CLIB484,1011_nature,Cider,"Brittany, France",2,Wine,Cider,Cider,contig,11839559.0,2459.0,147859.0,6323.0,False,1. Wine/European ,
CIA_4.re,SRC 147,1011_nature,Industrial,"Bretagne, France",2,Industry,Industrial,Industrial,contig,11885401.0,2691.0,244386.0,6307.0,False,1. Wine/European ,
BFR_8.re,CLIB485,1011_nature,Cider,"Brittany, France",2,Wine,Cider,Cider,contig,11848638.0,2425.0,147594.0,6344.0,False,1. Wine/European ,
CIB_4.re,SRC 213,1011_nature,Industrial,"Bretagne, France",2,Industry,Industrial,Industrial,contig,11873254.0,2765.0,266761.0,6332.0,False,1. Wine/European ,
CBG_3.re,DBVPG1978,1011_nature,Wine,Slovakia,2,Wine,Wine,Wine,contig,12522577.0,3633.0,137828.0,6585.0,False,1. Wine/European ,medium
ACF_7.re,CLIB294_1b,1011_nature,Distillery,France,1,Wine,Distillery,Distillery,contig,11790849.0,1651.0,178899.0,6359.0,False,1. Wine/European ,slow
YCD.re,YJM1356,1011_nature,Cider,0,2,Wine,Beer,,contig,12004520.0,2766.0,149284.0,6428.0,False,1. Wine/European ,slow
APS_4.re,CBS423,1011_nature,Wine,Switzerland,2,Wine,Wine,Wine,contig,12003163.0,3270.0,175402.0,6342.0,False,1. Wine/European ,
ARC_5.re,CBS1257,1011_nature,Wine,Germany,2,Wine,Wine,Wine,contig,12065512.0,2788.0,133018.0,6391.0,False,1. Wine/European ,medium
BER_2.re,EXF-5042,1011_nature,Wine,Slovenia,2,Wine,Wine,Wine,contig,11907264.0,2709.0,162590.0,6355.0,False,1. Wine/European ,medium
BES_2.re,EXF-5046,1011_nature,Wine,Slovenia,2,Wine,Wine,Wine,contig,12002020.0,2867.0,226646.0,6344.0,False,1. Wine/European ,medium
ARK_5.re,CBS1602,1011_nature,Fruit,0,2,Wild,Wild,Wild,contig,11850363.0,2366.0,135848.0,6305.0,False,1. Wine/European ,medium
ATA_8.re,PR,1011_nature,Wine,France,2,Wine,Wine,Wine,contig,11934324.0,3354.0,144666.0,6343.0,False,1. Wine/European ,medium
ARQ_6.re,CBS2271,1011_nature,Wine,Belgium,2,Wine,Wine,Wine,contig,11818208.0,2114.0,148595.0,6352.0,False,1. Wine/European ,fast
YBN.re,YJM1242,1011_nature,Fruit,"Illinois, USA",2,Wine,Beer,,contig,12039137.0,4352.0,176493.0,6378.0,False,1. Wine/European ,medium
APV_4.re,CBS1250,1011_nature,Wine,Spain,2,Wine,Wine,Wine,contig,11762530.0,1691.0,181126.0,6374.0,False,1. Wine/European ,slow
CFV_4.re,UCD_40-49,1011_nature,Fruit,0,2,Wild,Wild,Wild,contig,11874100.0,2756.0,280589.0,6327.0,False,1. Wine/European ,slow
YDC.re,YJM1477,1011_nature,Beer,Ethiopia,2,Wine,Beer,,contig,11934314.0,2973.0,188346.0,6392.0,False,1. Wine/European ,medium
GAP.re,L1528,1011_nature,Wine,Chile,2,Wine,Beer,,contig,11742257.0,1415.0,42262.0,6266.0,False,1. Wine/European ,fast
AAI_6.re,CBS2966a,1011_nature,Distillery,Denmark,1,Wine,Distillery,Distillery,contig,12122078.0,3819.0,141710.0,6364.0,False,1. Wine/European ,medium
ARV_6.re,CBS2965,1011_nature,Distillery,Denmark,2,Wine,Distillery,Distillery,contig,11846478.0,2343.0,139969.0,6307.0,False,1. Wine/European ,fast
BHC_2.re,CLIB1040,1011_nature,Cider,"Brittany, France",2,Wine,Cider,Cider,contig,11993015.0,2926.0,155720.0,6404.0,False,1. Wine/European ,medium
BHF_2.re,CLIB1062,1011_nature,Cider,"Brittany, France",2,Wine,Cider,Cider,contig,11925557.0,2775.0,135781.0,6370.0,False,1. Wine/European ,slow
BLB_4.re,DBVPG1601,1011_nature,Wine,"Casa del Rey, La Mancha, Spain",2,Wine,Wine,Wine,contig,11863123.0,1646.0,144134.0,6356.0,False,1. Wine/European ,medium
BPP_4.re,DBVPG1898,1011_nature,Wine,"Pantelleria, Italy",2,Wine,Wine,Wine,contig,11812993.0,1866.0,179094.0,6288.0,False,1. Wine/European ,medium
BTN_4.re,L-475,1011_nature,Wine,Chile,2,Wine,Wine,Wine,contig,12167606.0,4566.0,224936.0,6336.0,False,1. Wine/European ,slow
BTL_3.re,L-304,1011_nature,Wine,Chile,2,Wine,Wine,Wine,contig,11922972.0,2503.0,151056.0,6321.0,False,1. Wine/European ,medium
CRH_2.re,L-319,1011_nature,Wine,Chile,2,Wine,Wine,Wine,contig,12309534.0,3614.0,186527.0,6416.0,False,1. Wine/European ,medium
YAA.re,YJM189,1011_nature,Distillery,0,2,Wine,Beer,,contig,12092005.0,3529.0,172232.0,6400.0,False,1. Wine/European ,medium
BSP_3.re,L-1183,1011_nature,Wine,Uruguay,2,Wine,Wine,Wine,contig,11973077.0,2805.0,232501.0,6350.0,False,1. Wine/European ,medium
AHT_3.re,CBS1460,1011_nature,Fermentation,Indonesia,1,Fermentation,Fermentation,Fermentation,contig,11836823.0,2160.0,173297.0,6331.0,False,1. Wine/European ,medium
ATN_4.re,Y4,1011_nature,Fruit,Indonesia,2,Wild,Wild,Wild,contig,11905441.0,2764.0,151088.0,6375.0,False,1. Wine/European ,medium
YBO.re,YJM1244,1011_nature,Fruit,Indonesia,2,Wine,Beer,,contig,11804517.0,1677.0,131287.0,6375.0,False,1. Wine/European ,medium
BNK_4.re,DBVPG1701,1011_nature,Wine,"Cihuri, Rioja, Spain",2,Wine,Wine,Wine,contig,11880915.0,2162.0,204947.0,6328.0,False,1. Wine/European ,
BNR_4.re,DBVPG1725,1011_nature,Wine,"La Puebla de la Barca, Rioja, Spain",2,Wine,Wine,Wine,contig,11898573.0,2214.0,177992.0,6354.0,False,1. Wine/European ,fast
BQH_4.re,DBVPG3100,1011_nature,Wine,"Toscana, Italy",2,Wine,Wine,Wine,contig,12144066.0,3078.0,149473.0,6406.0,False,1. Wine/European ,medium
BEQ_4.re,EXF-4126,1011_nature,Wine,"Ljubljana, Slovenia",2,Wine,Wine,Wine,contig,12741319.0,3625.0,126013.0,6607.0,False,1. Wine/European ,medium
AIK_2.re,C15.1,1011_nature,Nature,Cameroon,2,Wild,Wild,Wild,contig,11951283.0,2990.0,175951.0,6340.0,False,1. Wine/European ,medium
CAH_4.re,D-1,1011_nature,Wine,Georgia,2,Wine,Wine,Wine,contig,12618105.0,3713.0,116374.0,6566.0,False,1. Wine/European ,medium
CBA_3.re,A-14,1011_nature,Wine,Georgia,2,Wine,Wine,Wine,contig,12497043.0,3453.0,174982.0,6521.0,False,1. Wine/European ,slow
CAI_2.re,D-4,1011_nature,Wine,Georgia,2,Wine,Wine,Wine,contig,12992067.0,4448.0,94068.0,6670.0,False,1. Wine/European ,medium
CAK_4.re,A-16,1011_nature,Wine,Georgia,2,Wine,Wine,Wine,contig,12857175.0,4103.0,122772.0,6608.0,False,1. Wine/European ,medium
CAL_3.re,A-19,1011_nature,Wine,Georgia,2,Wine,Wine,Wine,contig,12787408.0,4169.0,141011.0,6580.0,False,1. Wine/European ,medium
BSL_4.re,M57,1011_nature,Wine,Italy,2,Wine,Wine,Wine,contig,12789061.0,3726.0,114904.0,6671.0,False,1. Wine/European ,medium
YBX.re,YJM1332,1011_nature,Wine,Italy,2,Wine,Beer,,contig,12033809.0,3841.0,148687.0,6379.0,False,1. Wine/European ,medium
BSE_4.re,DBVPG6880,1011_nature,Wine,"Ridge Winery, California, USA",2,Wine,Wine,Wine,contig,11923943.0,2610.0,244613.0,6351.0,False,1. Wine/European ,fast
AAA_6.re,RM11-1a,1011_nature,Wine,"California, USA",1,Wine,Wine,Wine,contig,12091446.0,4893.0,129876.0,6350.0,False,1. Wine/European ,
CFS_4.re,UCD_40-255,1011_nature,Wine,"Walnut Creek, California",4,Wine,Wine,Wine,contig,11869616.0,2057.0,225881.0,6327.0,False,1. Wine/European ,medium
BEV_3.re,EXF-5248,1011_nature,Water,"Koper, Slovenia",2,Wild,Wild,Water,contig,11886040.0,2408.0,215984.0,6322.0,False,1. Wine/European ,medium
BET_1.re,EXF-5247,1011_nature,Water,"Koper, Slovenia",2,Wild,Wild,Water,contig,11850199.0,2224.0,178865.0,6318.0,False,1. Wine/European ,medium
BST_3.re,L-962,1011_nature,Wine,"Mendoza area, Argentina",2,Wine,Wine,Wine,contig,11836589.0,2033.0,215259.0,6328.0,False,1. Wine/European ,fast
ASS_1.re,M5,1011_nature,Wine,Italy,2,Wine,Wine,Wine,contig,11855771.0,2093.0,161827.0,6348.0,False,1. Wine/European ,medium
BSD_4.re,DBVPG6879,1011_nature,Wine,"Newton Winery, California, USA",2,Wine,Wine,Wine,contig,12084233.0,4699.0,176316.0,6341.0,False,1. Wine/European ,fast
ATM_4.re,UC10,1011_nature,Wine,"California, USA",2,Wine,Wine,Wine,contig,11993040.0,2957.0,156132.0,6386.0,False,1. Wine/European ,medium
CQT_4.re,L-982,1011_nature,Wine,Argentina,2,Wine,Wine,Wine,contig,12170111.0,5283.0,225783.0,6328.0,False,1. Wine/European ,medium
BSA_4.re,DBVPG6876,1011_nature,Wine,"Frog's Leap Winery, California, USA",2,Wine,Wine,Wine,contig,12004547.0,3266.0,232268.0,6316.0,False,1. Wine/European ,slow
ADR_4.re,M22_1b,1011_nature,Wine,Italy,1,Wine,Wine,Wine,contig,11962626.0,3110.0,181099.0,6346.0,False,1. Wine/European ,
BSC_4.re,DBVPG6878,1011_nature,Wine,"Mondavi Winery, California, USA",2,Wine,Wine,Wine,contig,11828873.0,2062.0,258022.0,6350.0,False,1. Wine/European ,fast
CFQ_4.re,UCD_40-235,1011_nature,Wine,"Walnut Creek, California",2,Wine,Wine,Wine,contig,11986502.0,2815.0,215924.0,6318.0,False,1. Wine/European ,medium
CFR_3.re,UCD_40-248,1011_nature,Wine,"Tulare Winery, California",2,Wine,Wine,Wine,contig,11821293.0,1825.0,179305.0,6355.0,False,1. Wine/European ,medium
BSB_4.re,DBVPG6877,1011_nature,Wine,"Sterling Winery, California, USA",2,Wine,Wine,Wine,contig,11958094.0,2548.0,214748.0,6356.0,False,1. Wine/European ,medium
ADC_2.re,UC1_1b,1011_nature,Wine,France,1,Wine,Wine,Wine,contig,11857431.0,1384.0,203467.0,6388.0,False,1. Wine/European ,fast
YCP.re,YJM1415,1011_nature,Wine,France,2,Wine,Wine,,contig,12677831.0,9885.0,178875.0,6396.0,False,1. Wine/European ,medium
YCQ.re,YJM1417,1011_nature,Cider,0,2,Wine,Cider,,contig,12407437.0,8293.0,150980.0,6385.0,False,1. Wine/European ,slow
BII_4.re,DBVPG1106,1011_nature,Wine,Australia,2,Wine,Wine,Wine,contig,11852186.0,1869.0,176522.0,6361.0,False,1. Wine/European ,medium
BIS_2.re,DBVPG1129,1011_nature,Wine,"Senigallia, Italy",2,Wine,Wine,Wine,contig,11914987.0,2045.0,145416.0,6353.0,False,1. Wine/European ,medium
BIG_1.re,DBVPG1080,1011_nature,Wine,"Barletta, Italy",2,Wine,Wine,Wine,contig,11952283.0,3538.0,175060.0,6363.0,False,1. Wine/European ,medium
AIR_1.re,MC8,1011_nature,Wine,"Ascoli Piceno, Italy",2,Wine,Wine,Wine,contig,11886230.0,1683.0,176343.0,6384.0,False,1. Wine/European ,slow
AIT_2.re,MC10,1011_nature,Wine,"Umbria, Italy",2,Wine,Wine,Wine,contig,12140291.0,3262.0,186275.0,6434.0,False,1. Wine/European ,slow
BNF_4.re,DBVPG1078,1011_nature,Wine,"San Ferdinando, Italy",2,Wine,Wine,Wine,contig,11822243.0,1604.0,228230.0,6359.0,False,1. Wine/European ,fast
BAR_7.re,PB56,1011_nature,Tree,Montalcino in Italy,2,Wild,Wild,Wild,contig,12038222.0,3163.0,176339.0,6357.0,False,1. Wine/European ,medium
BAS_8.re,PB67,1011_nature,Soil,Montalcino in Italy,2,Wild,Soil,Soil,contig,12228149.0,4980.0,176574.0,6372.0,False,1. Wine/European ,fast
BAT_8.re,PB94,1011_nature,Soil,Montalcino in Italy,2,Wild,Soil,Soil,contig,12081366.0,3618.0,150342.0,6337.0,False,1. Wine/European ,fast
BRD_4.re,DBVPG4902,1011_nature,Unknown,"Perugia, Italy",2,Unknow,0,Unknown,contig,12158632.0,3504.0,148643.0,6375.0,False,1. Wine/European ,medium
AGV_2.re,CBS6223,1011_nature,Wine,Chile,1,Wine,Wine,Wine,contig,11969461.0,2887.0,176119.0,6334.0,False,1. Wine/European ,slow
BQI_4.re,DBVPG3924,1011_nature,Wine,"Piave, Italy",2,Wine,Wine,Wine,contig,11793323.0,1763.0,220549.0,6326.0,False,1. Wine/European ,medium
AGA_5.re,CBS3012,1011_nature,Wine,"Cadiz, Spain",2,Wine,Wine,Wine,contig,11919684.0,3024.0,183191.0,6358.0,False,1. Wine/European ,medium
AGS_2.re,CBS3013,1011_nature,Wine,"Cadiz, Spain",1,Wine,Wine,Wine,contig,11926963.0,2260.0,217257.0,6377.0,False,1. Wine/European ,slow
BPC_4.re,DBVPG1798,1011_nature,Wine,"Sicily, Italy",2,Wine,Wine,Wine,contig,11855976.0,1517.0,244317.0,6326.0,False,1. Wine/European ,medium
BKE_1.re,DBVPG1380,1011_nature,Wine,"Rufina, Italy",2,Wine,Wine,Wine,contig,11980835.0,2730.0,210318.0,6371.0,False,1. Wine/European ,medium
BLH_1.re,DBVPG1626,1011_nature,Wine,"La Mancha, Spain",2,Wine,Wine,Wine,contig,11795538.0,1972.0,176687.0,6300.0,False,1. Wine/European ,fast
