#GenomeName,C(%),S(%),D(%),F(%),M(%),n
GCA_000209265.1_Saccharomyces_cerevisiae_PW5-1.0_genomic.fasta.out.txt,94.4,92.7,1.7,1.5,4.1,2137
YDE.re.fasta.out.txt,99.5,97.4,2.1,0.1,0.4,2137
CES_4.re.fasta.out.txt,99.4,97.5,1.9,0.1,0.5,2137
BGK_1.re.fasta.out.txt,99.1,87.6,11.5,0.3,0.6,2137
AKG_3.re.fasta.out.txt,99.5,97.4,2.1,0.2,0.3,2137
GCA_900178435.1_CG_SoucheMTF2412_V1_genomic.fasta.out.txt,96.0,94.2,1.8,1.5,2.5,2137
BDT_6.re.fasta.out.txt,99.4,94.3,5.1,0.1,0.5,2137
CPA_4.re.fasta.out.txt,99.2,90.6,8.6,0.2,0.6,2137
BAP_7.re.fasta.out.txt,99.6,97.4,2.2,0.1,0.3,2137
GCA_000766575.2_ASM76657v2_genomic.fasta.out.txt,99.2,97.3,1.9,0.1,0.7,2137
BHR_4.re.fasta.out.txt,99.5,93.3,6.2,0.1,0.4,2137
GCA_000977265.3_Sc_YJM1342_v1_genomic.fasta.out.txt,99.5,97.4,2.1,0.1,0.4,2137
YCH.re.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
ADM_2.re.fasta.out.txt,98.9,81.8,17.1,0.3,0.8,2137
CAQ_3.re.fasta.out.txt,99.5,96.8,2.7,0.1,0.4,2137
AQB_7.re.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
CDB_2.re.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
BCK_8.re.fasta.out.txt,99.4,94.9,4.5,0.1,0.5,2137
CDV_4.re.fasta.out.txt,99.7,97.6,2.1,0.1,0.2,2137
GCA_001670055.1_ASM167005v1_genomic.fasta.out.txt,99.5,97.3,2.2,0.1,0.4,2137
BKI_2.re.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
GCA_001671115.1_ASM167111v1_genomic.fasta.out.txt,99.4,97.2,2.2,0.2,0.4,2137
AHD_1.re.fasta.out.txt,99.7,97.5,2.2,0.1,0.2,2137
CEM_2.re.fasta.out.txt,99.5,97.4,2.1,0.2,0.3,2137
GCA_001740705.1_ASM174070v1_genomic.fasta.out.txt,99.2,97.1,2.1,0.1,0.7,2137
AIR_1.re.fasta.out.txt,99.6,97.4,2.2,0.1,0.3,2137
GCA_000976515.2_Sc_YJM981_v1_genomic.fasta.out.txt,99.7,97.5,2.2,0.1,0.2,2137
BTV_5.re.fasta.out.txt,99.5,86.8,12.7,0.1,0.4,2137
GCA_001738985.1_ASM173898v1_genomic.fasta.out.txt,98.8,96.8,2.0,0.2,1.0,2137
ADV_4.re.fasta.out.txt,99.4,97.5,1.9,0.1,0.5,2137
CGE_5.re.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
CEG_4.re.fasta.out.txt,99.4,97.3,2.1,0.1,0.5,2137
GCA_900178235.1_CE_SoucheMTF2380_V1_genomic.fasta.out.txt,99.5,97.6,1.9,0.1,0.4,2137
BIQ_3.re.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
ADI_4.re.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
BIT_2.re.fasta.out.txt,99.7,97.6,2.1,0.1,0.2,2137
YBA.re.fasta.out.txt,99.4,97.1,2.3,0.1,0.5,2137
GCA_000568295.1_P283_genomic.fasta.out.txt,94.6,92.6,2.0,1.2,4.2,2137
YCS.re.fasta.out.txt,99.7,97.5,2.2,0.1,0.2,2137
ABA_3.re.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
YBN.re.fasta.out.txt,99.6,97.4,2.2,0.1,0.3,2137
GCA_900178325.1_FF_SoucheMTF2404_V1_genomic.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
AEA_8.re.fasta.out.txt,99.5,97.3,2.2,0.1,0.4,2137
GCA_003270595.1_ASM327059v1_genomic.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
GCA_000766305.2_ASM76630v2_genomic.fasta.out.txt,98.2,95.0,3.2,0.6,1.2,2137
BTB_3.re.fasta.out.txt,98.3,85.0,13.3,0.4,1.3,2137
GCA_003271125.1_ASM327112v1_genomic.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
ACS_2.re.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
GCA_001739965.1_ASM173996v1_genomic.fasta.out.txt,99.5,97.5,2.0,0.1,0.4,2137
CGP_5.re.fasta.out.txt,99.4,93.4,6.0,0.1,0.5,2137
ACQ_8.re.fasta.out.txt,99.5,97.4,2.1,0.1,0.4,2137
GCA_001738135.2_ASM173813v2_genomic.fasta.out.txt,99.3,97.3,2.0,0.1,0.6,2137
CKB_3.re.fasta.out.txt,99.6,96.3,3.3,0.1,0.3,2137
BCP_8.re.fasta.out.txt,99.5,95.6,3.9,0.1,0.4,2137
ART_6.re.fasta.out.txt,99.5,97.5,2.0,0.1,0.4,2137
CKI_4.re.fasta.out.txt,99.6,97.1,2.5,0.1,0.3,2137
CLC_4.re.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
YBV.re.fasta.out.txt,99.7,97.6,2.1,0.1,0.2,2137
GCA_001739575.1_ASM173957v1_genomic.fasta.out.txt,99.1,97.2,1.9,0.1,0.8,2137
GCA_017869765.1_ASM1786976v1_genomic.fasta.out.txt,99.5,97.4,2.1,0.1,0.4,2137
AQC_4.re.fasta.out.txt,99.3,96.7,2.6,0.2,0.5,2137
AST_1.re.fasta.out.txt,99.6,93.1,6.5,0.1,0.3,2137
AFC_4.re.fasta.out.txt,98.6,85.2,13.4,0.4,1.0,2137
ACP_8.re.fasta.out.txt,99.7,97.6,2.1,0.1,0.2,2137
CIF_2.re.fasta.out.txt,99.0,82.4,16.6,0.4,0.6,2137
AAA_6.re.fasta.out.txt,99.5,97.4,2.1,0.1,0.4,2137
GCA_003275875.1_ASM327587v1_genomic.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
BEE_6.re.fasta.out.txt,99.2,94.2,5.0,0.2,0.6,2137
BHH_2.re.fasta.out.txt,99.6,97.4,2.2,0.0,0.4,2137
GCA_001739865.1_ASM173986v1_genomic.fasta.out.txt,99.2,97.2,2.0,0.1,0.7,2137
CHB_4.re.fasta.out.txt,99.7,96.8,2.9,0.1,0.2,2137
AEC_8.re.fasta.out.txt,94.7,85.6,9.1,1.3,4.0,2137
BAG_6.re.fasta.out.txt,99.6,97.4,2.2,0.1,0.3,2137
GCA_017864825.1_ASM1786482v1_genomic.fasta.out.txt,99.4,97.3,2.1,0.1,0.5,2137
BQM_4.re.fasta.out.txt,99.6,96.4,3.2,0.1,0.3,2137
GCA_003273575.1_ASM327357v1_genomic.fasta.out.txt,99.5,97.4,2.1,0.2,0.3,2137
BVB_6.re.fasta.out.txt,98.9,81.8,17.1,0.3,0.8,2137
ARS_1.re.fasta.out.txt,99.3,88.0,11.3,0.2,0.5,2137
GCA_019393955.1_ASM1939395v1_genomic.fasta.out.txt,99.2,97.2,2.0,0.2,0.6,2137
CPF_1.re.fasta.out.txt,99.5,96.6,2.9,0.1,0.4,2137
ATV_5.re.fasta.out.txt,92.9,85.3,7.6,1.9,5.2,2137
ABF_6.re.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
CFP_4.re.fasta.out.txt,89.2,79.6,9.6,3.4,7.4,2137
GCA_003270535.1_ASM327053v1_genomic.fasta.out.txt,99.4,97.3,2.1,0.2,0.4,2137
GCA_000568055.1_p301_genomic.fasta.out.txt,90.0,88.4,1.6,2.0,8.0,2137
CLD_5.re.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
GCA_900099165.1_FS2D_genomic.fasta.out.txt,97.4,95.9,1.5,0.9,1.7,2137
CHK_4.re.fasta.out.txt,98.5,85.6,12.9,0.4,1.1,2137
BME_1.re.fasta.out.txt,92.5,79.9,12.6,1.9,5.6,2137
BSR_4.re.fasta.out.txt,99.3,93.4,5.9,0.3,0.4,2137
ALA_5.re.fasta.out.txt,99.4,95.3,4.1,0.2,0.4,2137
AEF_8.re.fasta.out.txt,99.6,97.4,2.2,0.1,0.3,2137
BFC_3.re.fasta.out.txt,99.7,97.6,2.1,0.1,0.2,2137
AVR_6.re.fasta.out.txt,94.1,89.3,4.8,1.9,4.0,2137
GCA_017869335.1_ASM1786933v1_genomic.fasta.out.txt,99.3,97.4,1.9,0.1,0.6,2137
YBZ.re.fasta.out.txt,99.6,97.4,2.2,0.1,0.3,2137
GCA_003046715.1_ASM304671v1_genomic.fasta.out.txt,98.9,96.9,2.0,0.1,1.0,2137
GCA_001740905.1_ASM174090v1_genomic.fasta.out.txt,99.4,97.4,2.0,0.1,0.5,2137
ADF_4.re.fasta.out.txt,99.5,97.4,2.1,0.1,0.4,2137
CDS_4.re.fasta.out.txt,99.6,97.3,2.3,0.1,0.3,2137
ACM_7.re.fasta.out.txt,99.4,97.3,2.1,0.1,0.5,2137
BHF_2.re.fasta.out.txt,99.6,97.4,2.2,0.1,0.3,2137
GCA_900178035.1_L528_genomic.fasta.out.txt,98.8,96.7,2.1,0.1,1.1,2137
GCA_900178275.1_BE_Souche2334_V1_genomic.fasta.out.txt,99.6,97.6,2.0,0.1,0.3,2137
BRF_4.re.fasta.out.txt,99.6,94.6,5.0,0.1,0.3,2137
GCA_000365045.1_Saccharomyces_cerevisiae_M3707_v1.0_genomic.fasta.out.txt,99.6,97.4,2.2,0.1,0.3,2137
GCA_000976005.2_Sc_YJM451_v1_genomic.fasta.out.txt,98.5,96.4,2.1,0.1,1.4,2137
YAX.re.fasta.out.txt,99.5,97.4,2.1,0.1,0.4,2137
ANR_2.re.fasta.out.txt,99.4,95.5,3.9,0.1,0.5,2137
YBF.re.fasta.out.txt,99.5,97.3,2.2,0.1,0.4,2137
GCA_017869555.1_ASM1786955v1_genomic.fasta.out.txt,97.9,96.1,1.8,0.3,1.8,2137
GCA_001670115.1_ASM167011v1_genomic.fasta.out.txt,99.5,97.3,2.2,0.1,0.4,2137
YBW.re.fasta.out.txt,99.5,97.3,2.2,0.1,0.4,2137
CRG_2.re.fasta.out.txt,99.6,96.6,3.0,0.1,0.3,2137
AHE_3.re.fasta.out.txt,99.7,97.6,2.1,0.1,0.2,2137
CDF_1.re.fasta.out.txt,99.5,97.3,2.2,0.1,0.4,2137
GCA_001738855.1_ASM173885v1_genomic.fasta.out.txt,99.3,96.4,2.9,0.1,0.6,2137
CQR_4.re.fasta.out.txt,99.4,96.8,2.6,0.1,0.5,2137
YCY.re.fasta.out.txt,99.4,97.3,2.1,0.1,0.5,2137
YAM.re.fasta.out.txt,99.7,97.5,2.2,0.1,0.2,2137
GCA_001738715.1_ASM173871v1_genomic.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
BGH_1.re.fasta.out.txt,99.2,88.1,11.1,0.2,0.6,2137
CQN_4.re.fasta.out.txt,99.4,90.6,8.8,0.1,0.5,2137
CGG_4.re.fasta.out.txt,99.1,94.8,4.3,0.3,0.6,2137
APQ_4.re.fasta.out.txt,99.5,97.3,2.2,0.1,0.4,2137
GCA_000723645.1_ZhangWP_SECN85_genomic.fasta.out.txt,96.9,94.9,2.0,0.4,2.7,2137
GCA_000975765.2_Sc_YJM193_v1_genomic.fasta.out.txt,99.7,97.5,2.2,0.1,0.2,2137
AEN_3.re.fasta.out.txt,99.3,90.8,8.5,0.1,0.6,2137
GCA_003273555.1_ASM327355v1_genomic.fasta.out.txt,99.6,97.6,2.0,0.1,0.3,2137
GCA_000976365.2_Sc_YJM693_v1_genomic.fasta.out.txt,99.6,97.4,2.2,0.1,0.3,2137
ARN_6.re.fasta.out.txt,97.3,83.2,14.1,0.9,1.8,2137
BTA_5.re.fasta.out.txt,95.1,81.1,14.0,1.3,3.6,2137
BSD_4.re.fasta.out.txt,99.6,97.3,2.3,0.1,0.3,2137
BKQ_2.re.fasta.out.txt,99.5,97.3,2.2,0.1,0.4,2137
GCA_000976455.3_Sc_YJM975_v1_genomic.fasta.out.txt,99.5,97.3,2.2,0.1,0.4,2137
GCA_001738225.1_ASM173822v1_genomic.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
ADD_2.re.fasta.out.txt,99.6,97.4,2.2,0.1,0.3,2137
BCQ_8.re.fasta.out.txt,99.4,95.7,3.7,0.1,0.5,2137
GCA_019394655.1_ASM1939465v1_genomic.fasta.out.txt,99.2,97.3,1.9,0.3,0.5,2137
GCA_003273825.1_ASM327382v1_genomic.fasta.out.txt,99.5,97.5,2.0,0.1,0.4,2137
GCA_900177875.1_L328_genomic.fasta.out.txt,58.7,57.9,0.8,0.6,40.7,2137
GCA_019394785.1_ASM1939478v1_genomic.fasta.out.txt,99.2,97.3,1.9,0.1,0.7,2137
BNH_3.re.fasta.out.txt,99.6,97.4,2.2,0.1,0.3,2137
GCA_000190255.1_ScFostersB_v01_genomic.fasta.out.txt,65.3,64.1,1.2,6.9,27.8,2137
AVB_8.re.fasta.out.txt,99.7,97.5,2.2,0.1,0.2,2137
AQG_4.re.fasta.out.txt,99.3,91.3,8.0,0.2,0.5,2137
GCA_001738495.1_ASM173849v1_genomic.fasta.out.txt,99.4,97.3,2.1,0.2,0.4,2137
BCF_8.re.fasta.out.txt,99.3,95.5,3.8,0.1,0.6,2137
GCA_000365085.1_Saccharomyces_cerevisiae_M3837_v1.0_genomic.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
BPP_4.re.fasta.out.txt,99.7,97.5,2.2,0.1,0.2,2137
CCT_2.re.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
GCA_003270245.1_ASM327024v1_genomic.fasta.out.txt,99.5,97.4,2.1,0.1,0.4,2137
BKP_1.re.fasta.out.txt,99.6,96.7,2.9,0.1,0.3,2137
AGH_1.re.fasta.out.txt,99.6,97.4,2.2,0.1,0.3,2137
GCA_001738825.1_ASM173882v1_genomic.fasta.out.txt,99.1,97.2,1.9,0.2,0.7,2137
GCA_900178105.1_BA_Souche789_V1_genomic.fasta.out.txt,99.5,97.5,2.0,0.1,0.4,2137
CBR_2.re.fasta.out.txt,93.8,84.0,9.8,2.0,4.2,2137
CLB_5.re.fasta.out.txt,99.5,97.5,2.0,0.1,0.4,2137
CFT_5.re.fasta.out.txt,99.0,89.2,9.8,0.3,0.7,2137
GCA_003276495.1_ASM327649v1_genomic.fasta.out.txt,99.6,97.6,2.0,0.1,0.3,2137
BDI_5.re.fasta.out.txt,99.4,93.2,6.2,0.1,0.5,2137
AGI_1.re.fasta.out.txt,99.5,97.1,2.4,0.1,0.4,2137
CFR_3.re.fasta.out.txt,99.6,97.4,2.2,0.1,0.3,2137
ANS_2.re.fasta.out.txt,99.5,96.9,2.6,0.1,0.4,2137
GCA_000568005.1_R008_genomic.fasta.out.txt,95.4,93.4,2.0,0.9,3.7,2137
GCA_001078085.1_ASM107808v1_genomic.fasta.out.txt,97.7,95.7,2.0,0.6,1.7,2137
GCA_000976575.4_Sc_YJM987_v1_genomic.fasta.out.txt,99.6,97.4,2.2,0.1,0.3,2137
BKH_1.re.fasta.out.txt,99.6,96.9,2.7,0.1,0.3,2137
GCA_001740575.1_ASM174057v1_genomic.fasta.out.txt,99.4,97.1,2.3,0.1,0.5,2137
GCA_003271355.1_ASM327135v1_genomic.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
GCA_017867015.1_ASM1786701v1_genomic.fasta.out.txt,99.5,97.4,2.1,0.1,0.4,2137
BVV_4.re.fasta.out.txt,99.4,97.1,2.3,0.1,0.5,2137
CIV_3.re.fasta.out.txt,99.6,97.4,2.2,0.1,0.3,2137
GCA_000975975.3_Sc_YJM450_v1_genomic.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
CNB_4.re.fasta.out.txt,98.8,83.1,15.7,0.3,0.9,2137
GCA_017869445.1_ASM1786944v1_genomic.fasta.out.txt,99.4,97.3,2.1,0.1,0.5,2137
BCM_8.re.fasta.out.txt,99.6,95.9,3.7,0.1,0.3,2137
ACG_7.re.fasta.out.txt,99.6,97.3,2.3,0.1,0.3,2137
GCA_002571405.1_CENPK113_7D_MinION_1.0_genomic.fasta.out.txt,99.3,97.1,2.2,0.1,0.6,2137
AAC_6.re.fasta.out.txt,97.9,86.0,11.9,0.7,1.4,2137
APS_4.re.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
GCA_000975615.2_Sc_YJM244_v1_genomic.fasta.out.txt,98.5,96.3,2.2,0.1,1.4,2137
APP_4.re.fasta.out.txt,99.3,89.2,10.1,0.3,0.4,2137
CRB_2.re.fasta.out.txt,99.6,96.9,2.7,0.1,0.3,2137
YCZ.re.fasta.out.txt,99.7,97.5,2.2,0.1,0.2,2137
AQE_5.re.fasta.out.txt,99.6,97.2,2.4,0.0,0.4,2137
CFB_4.re.fasta.out.txt,99.6,97.4,2.2,0.1,0.3,2137
CCS_1.re.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
GCA_017870425.1_ASM1787042v1_genomic.fasta.out.txt,99.1,97.3,1.8,0.2,0.7,2137
GCA_003277385.1_ASM327738v1_genomic.fasta.out.txt,99.4,97.3,2.1,0.1,0.5,2137
BEM_7.re.fasta.out.txt,97.7,94.1,3.6,1.0,1.3,2137
GCA_017869715.1_ASM1786971v1_genomic.fasta.out.txt,98.9,97.0,1.9,0.2,0.9,2137
AMQ_5.re.fasta.out.txt,96.8,81.8,15.0,1.2,2.0,2137
CAV_4.re.fasta.out.txt,99.5,97.4,2.1,0.1,0.4,2137
BCS_8.re.fasta.out.txt,99.0,84.7,14.3,0.2,0.8,2137
GCA_000978345.2_Sc_YJM1615_v1_genomic.fasta.out.txt,99.6,96.5,3.1,0.1,0.3,2137
CCP_1.re.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
BLC_4.re.fasta.out.txt,99.4,97.2,2.2,0.1,0.5,2137
GCA_900178285.1_DG_SoucheMTF889_V1_genomic.fasta.out.txt,99.6,97.6,2.0,0.1,0.3,2137
BAR_7.re.fasta.out.txt,99.7,97.5,2.2,0.1,0.2,2137
GCA_001739425.1_ASM173942v1_genomic.fasta.out.txt,99.5,97.4,2.1,0.1,0.4,2137
ARE_5.re.fasta.out.txt,99.5,89.5,10.0,0.1,0.4,2137
BBG_6.re.fasta.out.txt,97.4,91.4,6.0,0.7,1.9,2137
BLQ_1.re.fasta.out.txt,99.6,96.2,3.4,0.1,0.3,2137
GCA_019394305.1_ASM1939430v1_genomic.fasta.out.txt,99.2,97.3,1.9,0.1,0.7,2137
GCA_003276015.1_ASM327601v1_genomic.fasta.out.txt,99.5,97.4,2.1,0.2,0.3,2137
BPH_4.re.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
GCA_000209365.1_Saccharomyces_cerevisiae_T7-1.0_genomic.fasta.out.txt,99.2,97.1,2.1,0.1,0.7,2137
GCA_000977355.3_Sc_YJM1381_v1_genomic.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
GCA_001737645.2_ASM173764v2_genomic.fasta.out.txt,99.3,97.3,2.0,0.2,0.5,2137
GCA_001738005.1_ASM173800v1_genomic.fasta.out.txt,99.5,97.5,2.0,0.1,0.4,2137
AQP_4.re.fasta.out.txt,99.6,96.9,2.7,0.1,0.3,2137
GCA_003326565.1_ASM332656v1_genomic.fasta.out.txt,96.0,93.9,2.1,1.0,3.0,2137
GCA_000978225.2_Sc_YJM1549_v1_genomic.fasta.out.txt,99.6,97.4,2.2,0.1,0.3,2137
GCA_003275225.1_ASM327522v1_genomic.fasta.out.txt,99.5,97.4,2.1,0.1,0.4,2137
CIE_4.re.fasta.out.txt,97.9,85.5,12.4,0.7,1.4,2137
CHT_4.re.fasta.out.txt,99.2,86.4,12.8,0.3,0.5,2137
GCA_900177985.1_L712_genomic.fasta.out.txt,96.5,94.6,1.9,0.5,3.0,2137
GCA_001740345.1_ASM174034v1_genomic.fasta.out.txt,99.3,97.3,2.0,0.1,0.6,2137
GCA_017869095.1_ASM1786909v1_genomic.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
ATP_4.re.fasta.out.txt,99.5,97.4,2.1,0.1,0.4,2137
CQQ_4.re.fasta.out.txt,99.5,97.0,2.5,0.1,0.4,2137
CEA_4.re.fasta.out.txt,99.6,97.4,2.2,0.1,0.3,2137
GCA_003276505.1_ASM327650v1_genomic.fasta.out.txt,99.6,97.6,2.0,0.1,0.3,2137
BLV_3.re.fasta.out.txt,99.7,97.5,2.2,0.1,0.2,2137
GCA_001737535.2_ASM173753v2_genomic.fasta.out.txt,99.6,97.4,2.2,0.1,0.3,2137
BCC_3.re.fasta.out.txt,99.6,95.4,4.2,0.2,0.2,2137
AHQ_1.re.fasta.out.txt,99.5,97.3,2.2,0.1,0.4,2137
GCA_003275235.1_ASM327523v1_genomic.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
YAC.re.fasta.out.txt,99.5,97.3,2.2,0.1,0.4,2137
GCA_003271775.1_ASM327177v1_genomic.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
GCA_001740535.1_ASM174053v1_genomic.fasta.out.txt,99.4,97.4,2.0,0.1,0.5,2137
YBT.re.fasta.out.txt,99.6,97.4,2.2,0.1,0.3,2137
AVP_5.re.fasta.out.txt,93.8,89.3,4.5,2.0,4.2,2137
GCA_017868145.1_ASM1786814v1_genomic.fasta.out.txt,95.2,93.5,1.7,1.0,3.8,2137
BER_2.re.fasta.out.txt,99.6,97.2,2.4,0.1,0.3,2137
GCA_001741255.1_ASM174125v1_genomic.fasta.out.txt,99.3,97.3,2.0,0.2,0.5,2137
CDA_2.re.fasta.out.txt,99.6,97.3,2.3,0.1,0.3,2137
GCA_001670385.1_ASM167038v1_genomic.fasta.out.txt,99.5,97.3,2.2,0.1,0.4,2137
BNA_4.re.fasta.out.txt,99.4,95.2,4.2,0.1,0.5,2137
AFD_4.re.fasta.out.txt,99.7,97.6,2.1,0.1,0.2,2137
BMB_1.re.fasta.out.txt,99.5,97.1,2.4,0.1,0.4,2137
GCA_003274425.1_ASM327442v1_genomic.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
GCA_017867555.1_ASM1786755v1_genomic.fasta.out.txt,98.7,96.6,2.1,0.3,1.0,2137
GCA_017866045.1_ASM1786604v1_genomic.fasta.out.txt,98.8,96.8,2.0,0.2,1.0,2137
GCA_001578295.1_25-25-2V-P3982-SPAdes-2.0_genomic.fasta.out.txt,87.6,85.9,1.7,2.7,9.7,2137
CFD_4.re.fasta.out.txt,96.2,86.2,10.0,1.0,2.8,2137
BTE_3.re.fasta.out.txt,88.7,84.2,4.5,3.9,7.4,2137
GCA_001671985.1_ASM167198v1_genomic.fasta.out.txt,99.5,97.3,2.2,0.1,0.4,2137
GCA_001741025.1_ASM174102v1_genomic.fasta.out.txt,99.2,97.3,1.9,0.2,0.6,2137
AVC_3.re.fasta.out.txt,99.6,96.8,2.8,0.1,0.3,2137
AMB_5.re.fasta.out.txt,99.6,97.5,2.1,0.1,0.3,2137
GCA_003272535.1_ASM327253v1_genomic.fasta.out.txt,99.4,97.3,2.1,0.1,0.5,2137
GCA_001671955.1_ASM167195v1_genomic.fasta.out.txt,99.4,97.2,2.2,0.1,0.5,2137
YBL.re.fasta.out.txt,99.7,97.5,2.2,0.1,0.2,2137
GCA_003273985.1_ASM327398v1_genomic.fasta.out.txt,99.5,97.5,2.0,0.1,0.4,2137
AHM_1.re.fasta.out.txt,99.5,97.4,2.1,0.1,0.4,2137
BFR_8.re.fasta.out.txt,99.7,97.5,2.2,0.1,0.2,2137
GCA_900099255.1_TS12-A7_genomic.fasta.out.txt,98.1,96.5,1.6,0.5,1.4,2137
GCA_019394275.1_ASM1939427v1_genomic.fasta.out.txt,99.3,97.4,1.9,0.2,0.5,2137
GCA_002214855.1_ASM221485v1_genomic.fasta.out.txt,96.6,94.3,2.3,0.5,2.9,2137
ARL_2.re.fasta.out.txt,99.7,96.9,2.8,0.1,0.2,2137
GCA_017867305.1_ASM1786730v1_genomic.fasta.out.txt,99.3,97.3,2.0,0.2,0.5,2137
